accession,genename,GOIDs,localizations,organism,type
F8WG85,Vegfa,GO:0008083; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
G8JLS5,Vegfa,GO:0008083; GO:0008201; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
P16612,Vegfa,GO:0001525; GO:0001666; GO:0001934; GO:0001938; GO:0001974; GO:0002040; GO:0005172; GO:0005604; GO:0005615; GO:0007399; GO:0007565; GO:0007568; GO:0008083; GO:0008201; GO:0008284; GO:0009409; GO:0009967; GO:0010595; GO:0016020; GO:0019838; GO:0030212; GO:0031334; GO:0031982; GO:0032355; GO:0032570; GO:0033189; GO:0035148; GO:0035690; GO:0038084; GO:0042056; GO:0042060; GO:0042088; GO:0042803; GO:0043069; GO:0043117; GO:0043183; GO:0043184; GO:0044344; GO:0045766; GO:0045779; GO:0045944; GO:0048010; GO:0048255; GO:0048286; GO:0048661; GO:0050731; GO:0050930; GO:0051593; GO:0051781; GO:0051894; GO:0060326; GO:0060754; GO:0060978; GO:0070482; GO:0071548; GO:0071549; GO:0097475; GO:0120162; GO:1901215,Secreted,Rattus norvegicus (Rat),Background Only
Q541S7,Vegfa,GO:0008083; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
Q91ZE2,Vegfa,GO:0120162,,Rattus norvegicus (Rat),Background Only
Q08755,Insig1,GO:0005789; GO:0008203; GO:0016021; GO:0032355; GO:0032869; GO:0033993; GO:0043434; GO:0070542,Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
D4AAH4,Ets2,GO:0000978; GO:0000981; GO:0001227; GO:0001712; GO:0003677; GO:0005634; GO:0005654; GO:0005829; GO:0005886; GO:0006357; GO:0007498; GO:0019904; GO:0030154; GO:0035259; GO:0045944; GO:0090009,Nucleus,Rattus norvegicus (Rat),Background Only
P29524,Serpinb2,GO:0004867; GO:0005615; GO:0005737; GO:0010951; GO:0042060; GO:0043066,Cytoplasm; Secreted; Extracellular space,Rattus norvegicus (Rat),Background Only
G3V9H8,Ret,GO:0000165; GO:0000187; GO:0001657; GO:0001755; GO:0001838; GO:0004714; GO:0005509; GO:0005524; GO:0005769; GO:0005829; GO:0005886; GO:0005887; GO:0007156; GO:0007158; GO:0007169; GO:0007399; GO:0010008; GO:0010976; GO:0014042; GO:0022008; GO:0030154; GO:0030335; GO:0030424; GO:0030425; GO:0033141; GO:0033619; GO:0033630; GO:0035799; GO:0035860; GO:0042493; GO:0042551; GO:0043025; GO:0043231; GO:0043235; GO:0043410; GO:0045121; GO:0045793; GO:0045893; GO:0048265; GO:0048484; GO:0050770; GO:0051897; GO:0060041; GO:0060384; GO:0061146; GO:0071300; GO:0072300; GO:0098797,Cell membrane; Endosome membrane,Rattus norvegicus (Rat),Background Only
Q63197,RET,,,Rattus norvegicus (Rat),Background Only
Q5PQN5,Trim55,GO:0005634; GO:0005737; GO:0008270; GO:0042802,Cytoplasm; Nucleus,Rattus norvegicus (Rat),Background Only
Q99PE6,Smim3,GO:0007399; GO:0016021,Membrane,Rattus norvegicus (Rat),Background Only
A0A0H2UHA9,Mmd,GO:0016021; GO:0019835,,Rattus norvegicus (Rat),Background Only
Q719N3,Mmd,GO:0004672; GO:0005765; GO:0005794; GO:0016021; GO:0019835; GO:0031902; GO:0032880; GO:0045666; GO:0045860,Late endosome membrane; Lysosome membrane,Rattus norvegicus (Rat),Background Only
D4ACP4,Tm4sf1,GO:0001825; GO:0005887,,Rattus norvegicus (Rat),Background Only
B2B9A9,Efnb2,GO:0001945; GO:0002042; GO:0005886; GO:0005912; GO:0007155; GO:0007411; GO:0008284; GO:0009887; GO:0010839; GO:0010977; GO:0031295; GO:0046875; GO:0048013; GO:0048514; GO:0048845; GO:0050920; GO:0072178; GO:0098685; GO:0098978; GO:0099054; GO:0099056; GO:0099061; GO:0099072; GO:0099149; GO:1901216; GO:1903849; GO:2000727,,Rattus norvegicus (Rat),Background Only
A0A0G2K826,Krt7,,,Rattus norvegicus (Rat),Background Only
Q6IG12,Krt7,GO:0045095,,Rattus norvegicus (Rat),Background Only
A0A0G2JT64,Akr1b8,GO:0004032; GO:0005739; GO:0005829; GO:0008106; GO:0016491; GO:0016918; GO:0019751; GO:0042572; GO:0042574; GO:0052650; GO:0070401; GO:0070402,,Rattus norvegicus (Rat),Background Only
G3V786,Akr1b8,GO:0004032; GO:0005739; GO:0005829; GO:0008106; GO:0016491; GO:0016918; GO:0019751; GO:0042572; GO:0042574; GO:0052650; GO:0070401; GO:0070402,,Rattus norvegicus (Rat),Background Only
Q6AY99,Akr1b10,GO:0004032; GO:0005739; GO:0005829; GO:0008106; GO:0016491; GO:0016918; GO:0019751; GO:0042572; GO:0042574; GO:0052650; GO:0070401; GO:0070402,,Rattus norvegicus (Rat),Background Only
Q91W30,Akr1b8,GO:0004032; GO:0005739; GO:0005829; GO:0008106; GO:0016491,,Rattus norvegicus (Rat),Background Only
D4A5T8,Ppl,GO:0005198; GO:0005737; GO:0005856; GO:0009612; GO:0016020; GO:0042060; GO:0045104,,Rattus norvegicus (Rat),Background Only
F1LQQ7,Scn7a,GO:0001518; GO:0005244; GO:0005248; GO:0005272; GO:0005886; GO:0006814; GO:0006936; GO:0009617; GO:0019228; GO:0030424; GO:0034765; GO:0035725; GO:0055078; GO:0086010; GO:0097386,Cell membrane,Rattus norvegicus (Rat),Background Only
P97706,Scn7a,GO:0001518; GO:0005244; GO:0005248; GO:0005272; GO:0005886; GO:0006814; GO:0006936; GO:0019228; GO:0030424; GO:0034765; GO:0035725; GO:0086010,Cell membrane,Rattus norvegicus (Rat),Background Only
Q9ESV8,scn7A,GO:0001518; GO:0005248; GO:0006936,,Rattus norvegicus (Rat),Background Only
M0R6S5,Chsy3,GO:0008376; GO:0032580,Golgi apparatus; Golgi stack membrane,Rattus norvegicus (Rat),Background Only
F1M9T2,Parp8,GO:0003950; GO:0070213; GO:0140289; GO:1990404,,Rattus norvegicus (Rat),Background Only
M0R8G7,Parp8,GO:0003950,,Rattus norvegicus (Rat),Background Only
P61794,Lpar1,GO:0000187; GO:0001965; GO:0004930; GO:0005543; GO:0005737; GO:0005768; GO:0005886; GO:0005887; GO:0007186; GO:0007193; GO:0007202; GO:0007420; GO:0008360; GO:0009986; GO:0010942; GO:0010977; GO:0014003; GO:0021549; GO:0021554; GO:0022008; GO:0022038; GO:0030139; GO:0030165; GO:0032060; GO:0035025; GO:0035727; GO:0042552; GO:0043005; GO:0043025; GO:0043065; GO:0043123; GO:0043197; GO:0043198; GO:0043410; GO:0043951; GO:0051482; GO:0051496; GO:0060326; GO:0060999; GO:0070915; GO:0071453; GO:0071673; GO:1904566,Cell surface; Cell membrane; Endosome,Rattus norvegicus (Rat),Background Only
Q6QDP7,Creb3l2,GO:0000785; GO:0001228; GO:0002062; GO:0005634; GO:0005654; GO:0005783; GO:0005789; GO:0006888; GO:0009611; GO:0010628; GO:0010976; GO:0016021; GO:0030968; GO:0034976; GO:0035497; GO:0044212; GO:0051216; GO:0097038,Endoplasmic reticulum membrane; Nucleus,Rattus norvegicus (Rat),Background Only
D4ADU2,Slc7a11,GO:0005791; GO:0005856; GO:0005886; GO:0006749; GO:0006979; GO:0007420; GO:0008542; GO:0009986; GO:0014070; GO:0015179; GO:0016021; GO:0021591; GO:0021756; GO:0030534; GO:0031526; GO:0033029; GO:0034599; GO:0034775; GO:0035094; GO:0042127; GO:0043231; GO:0048021; GO:0048286; GO:0050804; GO:0051223; GO:0051775; GO:0060173; GO:0070306; GO:0070527; GO:0090461; GO:0097449; GO:0098712; GO:0140206; GO:1901494; GO:1903204; GO:1903786; GO:1904717; GO:2000211,,Rattus norvegicus (Rat),Background Only
B2GV87,Ptpre,GO:0004725; GO:0005634; GO:0005737; GO:0005886; GO:0006470; GO:0016021; GO:0046627,Cell membrane; Cytoplasm,Rattus norvegicus (Rat),Background Only
B1WBW9,Abhd10,,,Rattus norvegicus (Rat),Background Only
Q5I0K5,Abhd10,GO:0005739; GO:0102390,Mitochondrion,Rattus norvegicus (Rat),Background Only
D3ZNT8,Gpr63,GO:0004930; GO:0005634; GO:0005829; GO:0005886; GO:0016021; GO:0043235,,Rattus norvegicus (Rat),Background Only
A0A0F7RQ24,Cga,GO:0005179; GO:0005576; GO:0006590; GO:0008406; GO:0030878; GO:0032275; GO:0032870; GO:0046621; GO:0046884; GO:0048589,Secreted,Rattus norvegicus (Rat),Background Only
P11962,Cga,GO:0005615; GO:0006590; GO:0007186; GO:0008406; GO:0010469; GO:0010893; GO:0016913; GO:0016914; GO:0030878; GO:0032275; GO:0032870; GO:0046621; GO:0046884; GO:0048589,Secreted,Rattus norvegicus (Rat),Background Only
Q6P509,Cga,GO:0005179; GO:0005576,Secreted,Rattus norvegicus (Rat),Background Only
D4A7D4,Slc41a2,GO:0005886; GO:0016021; GO:0070838; GO:0072509,,Rattus norvegicus (Rat),Background Only
Q4G075,Serpinb1a,GO:0004867; GO:0005615; GO:0005737; GO:0006954; GO:0010951; GO:0019725; GO:0042176; GO:0044342; GO:0045088; GO:0050713,Cytoplasm,Rattus norvegicus (Rat),Background Only
P26260,Sdc1,GO:0001657; GO:0006954; GO:0007155; GO:0007267; GO:0008022; GO:0009636; GO:0009897; GO:0009986; GO:0010033; GO:0016021; GO:0016477; GO:0032991; GO:0042060; GO:0042476; GO:0042542; GO:0042802; GO:0048627; GO:0050840; GO:0051384; GO:0051591; GO:0051592; GO:0055002; GO:0060009; GO:0060070; GO:0070062; GO:1903543; GO:1903553,Membrane; Secreted; Exosome,Rattus norvegicus (Rat),Background Only
B1WC67,Slc25a24,GO:0005347; GO:0005509; GO:0005743; GO:0006839; GO:0010941; GO:0016021; GO:0034599; GO:0071277,,Rattus norvegicus (Rat),Background Only
Q5BJY9,Krt18,GO:0005198; GO:0005730; GO:0005829; GO:0016363; GO:0033209; GO:0034451; GO:0043000; GO:0043066; GO:0045095; GO:0045104; GO:0071944; GO:0097110; GO:0097191; GO:0097284,Nucleus matrix; Nucleus; Nucleolus; Cytoplasm,Rattus norvegicus (Rat),Background Only
A0A0G2JXB1,Lgals3,GO:0030246,,Rattus norvegicus (Rat),Background Only
A0A0G2JXN6,Lgals3,GO:0001772; GO:0002548; GO:0005634; GO:0005743; GO:0019863; GO:0019903; GO:0030246; GO:0030593; GO:0030855; GO:0042056; GO:0042129; GO:0043236; GO:0045806; GO:0048245; GO:0048246; GO:0070232; GO:0071677; GO:0090073; GO:0090280; GO:1902041; GO:1903078; GO:2001237,,Rattus norvegicus (Rat),Background Only
P08699,Lgals3,GO:0001772; GO:0002548; GO:0005615; GO:0005634; GO:0005681; GO:0005737; GO:0005886; GO:0006397; GO:0008284; GO:0008380; GO:0009986; GO:0014064; GO:0019863; GO:0030154; GO:0030593; GO:0034988; GO:0043066; GO:0043236; GO:0045087; GO:0045766; GO:0045806; GO:0048029; GO:0048030; GO:0048245; GO:0048246; GO:0050785; GO:0050918; GO:0090280; GO:1903769; GO:2001237,Cytoplasm; Nucleus; Secreted,Rattus norvegicus (Rat),Background Only
V5QQP9,Lgals3,GO:0030246,,Rattus norvegicus (Rat),Background Only
O08954,Snai2,GO:0000122; GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0006355; GO:0007275; GO:0044344; GO:0046872,Nucleus; Cytoplasm,Rattus norvegicus (Rat),Background Only
G3V712,Krt7,GO:0005198; GO:0005737; GO:0045095,,Rattus norvegicus (Rat),Background Only
P07308,Scd1,GO:0004768; GO:0005506; GO:0005789; GO:0006633; GO:0006636; GO:0006641; GO:0008610; GO:0016021; GO:0016491; GO:0030176; GO:0032896; GO:0033561; GO:0034435; GO:0043231; GO:0044130; GO:0050830; GO:0050872; GO:0050873; GO:0070542; GO:0120162; GO:1903699; GO:1903966,Endoplasmic reticulum membrane; Membrane,Rattus norvegicus (Rat),Background Only
D3ZJ25,Slc1a5,GO:0005886; GO:0010585; GO:0015186; GO:0015194; GO:0015293; GO:0015825; GO:0016021; GO:0070207; GO:1903803,Membrane,Rattus norvegicus (Rat),Background Only
Q9Z1J7,Slc1a5,GO:0010585; GO:0015194; GO:0015293; GO:0015825; GO:0016021; GO:1903803,Membrane,Rattus norvegicus (Rat),Background Only
D3ZJA3,Spry4,GO:0005829; GO:0007275; GO:0016020; GO:0040037; GO:0043407; GO:0046580; GO:0070373; GO:1990830,,Rattus norvegicus (Rat),Background Only
P22288,Gch1,GO:0003924; GO:0003934; GO:0005509; GO:0005525; GO:0005654; GO:0005737; GO:0005829; GO:0006729; GO:0008270; GO:0010460; GO:0014916; GO:0030742; GO:0031369; GO:0031410; GO:0031965; GO:0032496; GO:0032991; GO:0034341; GO:0034612; GO:0035998; GO:0042311; GO:0042416; GO:0042803; GO:0045776; GO:0046654; GO:0048265; GO:0050662; GO:0050884; GO:0051000; GO:0051019; GO:0051066; GO:0051260; GO:0051291; GO:0065003; GO:2000121,Cytoplasm; Nucleus,Rattus norvegicus (Rat),Background Only
B0BNI9,Slc22a23,GO:0016021; GO:0022857,,Rattus norvegicus (Rat),Background Only
Q9QZG1,Slc22a23,GO:0006811; GO:0016021; GO:0022857,Membrane,Rattus norvegicus (Rat),Background Only
A0A0G2K3V3,Cckbr,GO:0015054; GO:0016021,,Rattus norvegicus (Rat),Background Only
G3V8A8,Cckbr,GO:0001696; GO:0004951; GO:0005623; GO:0007200; GO:0007204; GO:0008284; GO:0015054; GO:0016021; GO:0017046; GO:0031741; GO:0045851; GO:0048565; GO:0048732,,Rattus norvegicus (Rat),Background Only
P30553,Cckbr,GO:0001821; GO:0002209; GO:0005634; GO:0005737; GO:0005886; GO:0006915; GO:0007204; GO:0007586; GO:0008284; GO:0015054; GO:0016021; GO:0032230; GO:0032868; GO:0044849; GO:0050806; GO:0051930; GO:0051968; GO:0070371; GO:0090274; GO:2000987,Cell membrane,Rattus norvegicus (Rat),Background Only
A0MV40,Shisa4,GO:0016021,,Rattus norvegicus (Rat),Background Only
A0A0G2K3G1,Sla,GO:0005070,,Rattus norvegicus (Rat),Background Only
A0A0G2KAQ1,Sla,GO:0005070,,Rattus norvegicus (Rat),Background Only
A0A1W2Q6I5,Sla,,,Rattus norvegicus (Rat),Background Only
A0A1W2Q6L4,Sla,GO:0005070,,Rattus norvegicus (Rat),Background Only
P59622,Sla,GO:0004715; GO:0005070; GO:0005768; GO:0030154; GO:0038083; GO:0042127,Cytoplasm; Endosome,Rattus norvegicus (Rat),Background Only
Q6DG50,Tbkbp1,GO:0045087,,Rattus norvegicus (Rat),Background Only
Q9EPX4,P2ry12,GO:0001609; GO:0001621; GO:0001973; GO:0005886; GO:0005901; GO:0006930; GO:0007186; GO:0007193; GO:0007200; GO:0008347; GO:0009897; GO:0009925; GO:0010700; GO:0016021; GO:0019722; GO:0021808; GO:0030030; GO:0030032; GO:0031224; GO:0031253; GO:0033626; GO:0033630; GO:0035585; GO:0043270; GO:0043491; GO:0044298; GO:0045028; GO:0045596; GO:0048678; GO:0050920; GO:0050921; GO:0051897; GO:0051924; GO:0070527; GO:0070588; GO:0071318; GO:0071805; GO:0150063; GO:1900029; GO:1904139; GO:1904141,Cell membrane,Rattus norvegicus (Rat),Background Only
A0A0G2JX95,Etv4,GO:0000978; GO:0000981; GO:0005634; GO:0005730; GO:0006357; GO:0030154; GO:0045944,Nucleus,Rattus norvegicus (Rat),Background Only
B5DF72,Etv4,GO:0003700; GO:0005634; GO:0043565,Nucleus,Rattus norvegicus (Rat),Background Only
E9PTJ2,Etv4,GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565,Nucleus,Rattus norvegicus (Rat),Background Only
P32215,Adcyap1r1,GO:0000139; GO:0004999; GO:0005737; GO:0005768; GO:0005791; GO:0005901; GO:0005923; GO:0007166; GO:0007202; GO:0007283; GO:0008179; GO:0008528; GO:0009986; GO:0010524; GO:0016021; GO:0017046; GO:0019933; GO:0030154; GO:0030306; GO:0032355; GO:0033555; GO:0042493; GO:0042923; GO:0043005; GO:0043235; GO:0043950; GO:0045471; GO:0046545; GO:0051057; GO:0060548; GO:0060732,Cell membrane,Rattus norvegicus (Rat),Background Only
F1M4F3,Mast4,GO:0000287; GO:0004674; GO:0005524; GO:0007010; GO:0018105; GO:0035556,,Rattus norvegicus (Rat),Background Only
M0R3L1,Mast4,GO:0000287; GO:0004674; GO:0005524; GO:0007010; GO:0018105; GO:0035556,,Rattus norvegicus (Rat),Background Only
B5DFM0,Heatr5a,,,Rattus norvegicus (Rat),Background Only
F1LSK5,Heatr5a,GO:0005829; GO:0006897; GO:0008104; GO:0030139; GO:0042147,,Rattus norvegicus (Rat),Background Only
Q8K3V3,Adgrg1,GO:0001525; GO:0004930; GO:0005518; GO:0005576; GO:0005887; GO:0007155; GO:0007166; GO:0007189; GO:0007266; GO:0008201; GO:0008285; GO:0010573; GO:0016477; GO:0021801; GO:0021819; GO:0035025; GO:0045121; GO:0045785; GO:0050840; GO:0070528; GO:0097451; GO:2001223,Cell membrane; Secreted; Membrane raft,Rattus norvegicus (Rat),Background Only
G3V7S2,Nefm,GO:0005198; GO:0005883; GO:0033693; GO:0097418,,Rattus norvegicus (Rat),Background Only
P12839,Nefm,GO:0005102; GO:0005198; GO:0005856; GO:0005882; GO:0005883; GO:0015643; GO:0021510; GO:0021766; GO:0021987; GO:0030424; GO:0031103; GO:0033693; GO:0034599; GO:0043204; GO:0045105; GO:0046982; GO:0071392; GO:1903937,,Rattus norvegicus (Rat),Background Only
F1LR29,Frmd6,GO:0003383; GO:0005856; GO:0032970; GO:0034613; GO:0043296,,Rattus norvegicus (Rat),Background Only
Q8VII0,Frmd6,GO:0005737; GO:0005856; GO:0005886; GO:0031032,Cytoplasm; Cell membrane,Rattus norvegicus (Rat),Background Only
Q5XI04,Stom,GO:0005739; GO:0005783; GO:0005856; GO:0005886; GO:0005887; GO:0042803; GO:0044829; GO:0045121; GO:0048471; GO:0051260; GO:0070063; GO:0090314; GO:1901585,,Rattus norvegicus (Rat),Background Only
D4A9V6,Elk3,GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001525; GO:0005634; GO:0005654; GO:0005739; GO:0006357; GO:0030154; GO:0032422; GO:0042060,Nucleus,Rattus norvegicus (Rat),Background Only
Q9QWS8,Kcnh8,GO:0000981; GO:0005249; GO:0005887; GO:0034765; GO:0042391; GO:0043066; GO:0071805,Membrane,Rattus norvegicus (Rat),Background Only
Q9R1T9,Kcnh4,GO:0005249; GO:0005887; GO:0034765; GO:0042391; GO:0071805,Membrane,Rattus norvegicus (Rat),Background Only
P01143,Crh,GO:0001934; GO:0001963; GO:0003085; GO:0005615; GO:0005737; GO:0006704; GO:0006954; GO:0007565; GO:0007611; GO:0008202; GO:0008284; GO:0008306; GO:0008628; GO:0010628; GO:0010629; GO:0010700; GO:0010942; GO:0014062; GO:0016101; GO:0017045; GO:0021854; GO:0030324; GO:0030325; GO:0032811; GO:0033685; GO:0035641; GO:0035774; GO:0035902; GO:0042220; GO:0042493; GO:0043025; GO:0043196; GO:0043204; GO:0043627; GO:0043950; GO:0045471; GO:0045472; GO:0048265; GO:0050801; GO:0051412; GO:0051430; GO:0051431; GO:0051461; GO:0051464; GO:0060291; GO:0060456; GO:0060548; GO:0070093; GO:0071314; GO:0071549; GO:0090280; GO:2000310; GO:2000854; GO:2000987,Secreted,Rattus norvegicus (Rat),Background Only
A0A0G2K8V2,Vcl,GO:0002009; GO:0002102; GO:0002162; GO:0005198; GO:0005916; GO:0005925; GO:0030032; GO:0030334; GO:0031625; GO:0034333; GO:0034394; GO:0042383; GO:0043034; GO:0043297; GO:0045294; GO:0048675; GO:0051015; GO:0090136,,Rattus norvegicus (Rat),Background Only
P85972,Vcl,GO:0005198; GO:0005903; GO:0005915; GO:0005925; GO:0007155; GO:0014704; GO:0017048; GO:0030018; GO:0042383; GO:0051015; GO:0090636; GO:0090637; GO:1990357,Cell membrane; Cell junction; Adherens junction; Focal adhesion; Cytoplasm; Cytoskeleton; Sarcolemma,Rattus norvegicus (Rat),Background Only
R9PXU6,Vcl,GO:0005198; GO:0005623; GO:0005886; GO:0005903; GO:0005915; GO:0007155; GO:0051015; GO:0090636; GO:0090637; GO:1990357,,Rattus norvegicus (Rat),Background Only
P52631,Stat3,GO:0000790; GO:0000978; GO:0001103; GO:0001228; GO:0001659; GO:0001754; GO:0003677; GO:0003700; GO:0004879; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005743; GO:0005829; GO:0005886; GO:0006355; GO:0006357; GO:0006606; GO:0006952; GO:0006953; GO:0006954; GO:0007259; GO:0007568; GO:0008134; GO:0008283; GO:0008284; GO:0008285; GO:0010033; GO:0010507; GO:0010730; GO:0014069; GO:0014070; GO:0016310; GO:0019221; GO:0019827; GO:0019901; GO:0019903; GO:0019953; GO:0030335; GO:0031490; GO:0031730; GO:0032355; GO:0033210; GO:0034097; GO:0035259; GO:0035278; GO:0040014; GO:0042127; GO:0042493; GO:0042593; GO:0042755; GO:0042789; GO:0042803; GO:0043066; GO:0043434; GO:0043565; GO:0044320; GO:0044321; GO:0045410; GO:0045471; GO:0045648; GO:0045747; GO:0045766; GO:0045820; GO:0045893; GO:0045944; GO:0046902; GO:0046983; GO:0048708; GO:0050804; GO:0051092; GO:0051726; GO:0060019; GO:0060259; GO:0060397; GO:0060548; GO:0070102; GO:0071345; GO:0071407; GO:0072540; GO:0090575; GO:0097009; GO:0098685; GO:0098978; GO:0099527; GO:1901215; GO:1902728; GO:1902895; GO:1904685; GO:1905564; GO:2000637; GO:2000737; GO:2001171; GO:2001223,Cytoplasm; Nucleus,Rattus norvegicus (Rat),Background Only
Q10758,Krt8,GO:0005654; GO:0005911; GO:0016010; GO:0016327; GO:0016363; GO:0030018; GO:0033209; GO:0042383; GO:0043034; GO:0044877; GO:0045095; GO:0045214; GO:0051599; GO:0051707; GO:0060706; GO:0097110; GO:0097191; GO:0097284,Cytoplasm; Nucleus; Nucleoplasm; Nucleus matrix,Rattus norvegicus (Rat),Background Only
E9PSJ1,St3gal1,GO:0003836; GO:0005794; GO:0006468; GO:0006486; GO:0016021,,Rattus norvegicus (Rat),Background Only
Q6H8N0,St3gal1,GO:0003836; GO:0005794; GO:0006486; GO:0016021,,Rattus norvegicus (Rat),Background Only
A0A0G2K8A2,S100a3,GO:0005509; GO:0005730; GO:0005829; GO:0008270,,Rattus norvegicus (Rat),Background Only
P62819,S100a3,GO:0005509; GO:0005737; GO:0008270,Cytoplasm,Rattus norvegicus (Rat),Background Only
D4ABM3,Daam1,GO:0001725; GO:0003779; GO:0005829; GO:0005886; GO:0017048; GO:0030036; GO:0031514; GO:0036064; GO:0042802,,Rattus norvegicus (Rat),Background Only
D3ZNA1,Zfp608,GO:0000122; GO:0003676,,Rattus norvegicus (Rat),Background Only
D4A3U5,Zfhx4,GO:0000122; GO:0000978; GO:0005634; GO:0008270; GO:0044212; GO:0045893,Nucleus,Rattus norvegicus (Rat),Background Only
F1LV21,Ubash3b,GO:0004725; GO:0006469; GO:0009968; GO:0016791; GO:0031625; GO:0035335; GO:0038063; GO:0038065; GO:0042802; GO:0043393; GO:0045670; GO:0045671; GO:0045779; GO:0051219; GO:0051279; GO:0070527; GO:0090331,,Rattus norvegicus (Rat),Background Only
D4A7X5,Ppm1k,GO:0004722; GO:0004724; GO:0005759; GO:0046872; GO:1904184,,Rattus norvegicus (Rat),Background Only
D4AAV0,Irf6,GO:0000981; GO:0002376; GO:0005634; GO:0005829; GO:0007050; GO:0008285; GO:0030054; GO:0030216; GO:0043565; GO:0043616; GO:0044212; GO:0045944; GO:0048468; GO:0060021; GO:0060644,,Rattus norvegicus (Rat),Background Only
A0A0G2K5A1,Odc1,GO:0003824; GO:0006596,,Rattus norvegicus (Rat),Background Only
P09057,Odc1,GO:0001822; GO:0004586; GO:0005737; GO:0005829; GO:0006595; GO:0008284; GO:0009446; GO:0009615; GO:0033387; GO:0042176; GO:0042803; GO:0048471,,Rattus norvegicus (Rat),Background Only
A0A0G2K4Y4,RT1-S3,GO:0001916; GO:0002476; GO:0002486; GO:0005102; GO:0005615; GO:0005886; GO:0006955; GO:0009897; GO:0042605,,Rattus norvegicus (Rat),Background Only
F1LQF2,RT1-S3,GO:0001916; GO:0002476; GO:0002486; GO:0005102; GO:0005615; GO:0005886; GO:0006955; GO:0009897; GO:0016021; GO:0042605,,Rattus norvegicus (Rat),Background Only
Q9QUQ2,RT1-S3,GO:0001916; GO:0002476; GO:0002486; GO:0005102; GO:0005615; GO:0005886; GO:0006955; GO:0009897; GO:0016021; GO:0042605,,Rattus norvegicus (Rat),Background Only
A0A0G2K9C0,Vasp,GO:0001843; GO:0003779; GO:0005522; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0007411; GO:0008154; GO:0017124; GO:0030027; GO:0030036; GO:0030175; GO:0030838; GO:0051289,Cytoplasm; Cytoskeleton,Rattus norvegicus (Rat),Background Only
B5DEX4,Vasp,GO:0001843; GO:0003779; GO:0005522; GO:0005737; GO:0005856; GO:0007411; GO:0008154; GO:0017124; GO:0030036; GO:0030838; GO:0042995; GO:0051289,Cytoplasm; Cytoskeleton,Rattus norvegicus (Rat),Background Only
F7EWC1,Vasp,GO:0001843; GO:0003779; GO:0005522; GO:0005737; GO:0005856; GO:0007411; GO:0008154; GO:0017124; GO:0030036; GO:0030838; GO:0042995; GO:0051289,Cytoplasm; Cytoskeleton,Rattus norvegicus (Rat),Background Only
B5DEG0,Pwwp3b,,,Rattus norvegicus (Rat),Background Only
P24008,Srd5a1,GO:0001655; GO:0001889; GO:0003865; GO:0005737; GO:0005789; GO:0006694; GO:0006702; GO:0006710; GO:0008209; GO:0008584; GO:0009267; GO:0014070; GO:0014850; GO:0016021; GO:0016101; GO:0016491; GO:0021510; GO:0021766; GO:0021794; GO:0021854; GO:0021983; GO:0021987; GO:0030154; GO:0030539; GO:0030540; GO:0032354; GO:0032355; GO:0032869; GO:0033218; GO:0033574; GO:0042428; GO:0042448; GO:0042493; GO:0042747; GO:0043025; GO:0043209; GO:0043231; GO:0043627; GO:0046661; GO:0047751; GO:0048471; GO:0060348; GO:0060416; GO:0060992; GO:0070402; GO:0070852; GO:0071320; GO:0071363; GO:0071392; GO:0071394; GO:0071407; GO:0071549; GO:0071872,Microsome membrane; Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
F1M0C4,Kctd14,GO:0051260,,Rattus norvegicus (Rat),Background Only
Q4QQV0,Tubb6,GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017,Cytoplasm; Cytoskeleton,Rattus norvegicus (Rat),Background Only
F1M0C0,Tbx2,GO:0000122; GO:0000977; GO:0001102; GO:0001228; GO:0001708; GO:0001947; GO:0003205; GO:0005634; GO:0007417; GO:0008284; GO:0045944,Nucleus,Rattus norvegicus (Rat),Background Only
E9PT24,Zeb1,GO:0003677,,Rattus norvegicus (Rat),Background Only
F8WG35,Zeb1,GO:0001227; GO:0003682; GO:0005654; GO:0005667; GO:0005829; GO:0007389; GO:0007417; GO:0008134; GO:0008285; GO:0010464; GO:0017015; GO:0033081; GO:0045602; GO:0045666; GO:0045944; GO:0048596; GO:0048704; GO:0048752; GO:0051150; GO:0051216; GO:0070888; GO:0071230; GO:0090103,,Rattus norvegicus (Rat),Background Only
Q62947,Zeb1,GO:0000122; GO:0003682; GO:0003690; GO:0003700; GO:0005634; GO:0008270; GO:0014823; GO:0030900; GO:0031667; GO:0043565; GO:0045666; GO:0045892; GO:0045944; GO:0070888; GO:0071560,Nucleus,Rattus norvegicus (Rat),Background Only
D3ZFL3,Map3k6,GO:0000186; GO:0000287; GO:0004672; GO:0004709; GO:0005524,,Rattus norvegicus (Rat),Background Only
