accession,genename,GOIDs,localizations,organism,type
O43765,SGTA,GO:0005634; GO:0005737; GO:0005829; GO:0006620; GO:0016020; GO:0016032; GO:0030433; GO:0042802; GO:0043621; GO:0061077; GO:0071816; GO:0072380; GO:0098850; GO:1903070; GO:1903071; GO:1903646; GO:1904288; GO:2000059,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
P29375,KDM5A,GO:0000122; GO:0003677; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0005730; GO:0006338; GO:0007283; GO:0008270; GO:0008584; GO:0031490; GO:0032452; GO:0032922; GO:0032993; GO:0033169; GO:0034647; GO:0034648; GO:0034720; GO:0035064; GO:0035097; GO:0042393; GO:0044212; GO:0045893; GO:0051090; GO:0051213; GO:1901726,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
Q9Y484,WDR45,GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0006497; GO:0006914; GO:0009267; GO:0019898; GO:0019901; GO:0032266; GO:0034045; GO:0034497; GO:0080025; GO:1901981,Preautophagosomal structure; Cytoplasm,Homo sapiens (Human),Background Only
Q12824,SMARCB1,GO:0000790; GO:0001164; GO:0001650; GO:0002039; GO:0003677; GO:0003713; GO:0005634; GO:0005654; GO:0005730; GO:0006337; GO:0006338; GO:0006357; GO:0007049; GO:0007399; GO:0015074; GO:0016514; GO:0030957; GO:0032991; GO:0035060; GO:0039692; GO:0043044; GO:0043231; GO:0043923; GO:0045944; GO:0051091; GO:0071564; GO:0071565; GO:0090240; GO:1900110; GO:1900113; GO:1901838; GO:1902661; GO:2000617,Nucleus,Homo sapiens (Human),Background Only
Q15545,TAF7,GO:0000122; GO:0000296; GO:0001097; GO:0003713; GO:0005654; GO:0005667; GO:0005669; GO:0005794; GO:0006352; GO:0006357; GO:0006366; GO:0006367; GO:0006469; GO:0008134; GO:0030520; GO:0033276; GO:0035035; GO:0035067; GO:0042809; GO:0044212; GO:0045892; GO:0045944; GO:0046966; GO:0046982; GO:0051123; GO:0060260; GO:0071339; GO:0106140; GO:1901796,Nucleus,Homo sapiens (Human),Background Only
O95819,MAP4K4,GO:0000165; GO:0001953; GO:0004111; GO:0004674; GO:0005524; GO:0005737; GO:0005925; GO:0006468; GO:0008017; GO:0023014; GO:0030335; GO:0031098; GO:0032014; GO:0032147; GO:0035556; GO:0043066; GO:0043547; GO:0046328; GO:0048812; GO:0051549; GO:0051894; GO:0061179; GO:0070571; GO:1903393,Cytoplasm,Homo sapiens (Human),Background Only
Q9H078,CLPB,GO:0005524; GO:0005739; GO:0016887; GO:0034605,Mitochondrion,Homo sapiens (Human),Background Only
P25787,PSMA2,GO:0000165; GO:0000209; GO:0000502; GO:0000932; GO:0002223; GO:0002479; GO:0004175; GO:0004298; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0006521; GO:0009615; GO:0010498; GO:0010499; GO:0010972; GO:0016579; GO:0019773; GO:0031145; GO:0031146; GO:0033209; GO:0034774; GO:0038061; GO:0038095; GO:0043161; GO:0043312; GO:0043488; GO:0043687; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070062; GO:0070498; GO:0090090; GO:0090263; GO:1901990; GO:1902036; GO:1904813,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
Q9P246,STIM2,GO:0002115; GO:0005246; GO:0005509; GO:0005783; GO:0005789; GO:0005886; GO:0006874; GO:0015279; GO:0016021; GO:0032237; GO:0051928,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
Q92989,CLP1,GO:0000214; GO:0000398; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0005849; GO:0006369; GO:0006378; GO:0006388; GO:0021695; GO:0030423; GO:0031124; GO:0035087; GO:0046404; GO:0051733; GO:0051736,Nucleus,Homo sapiens (Human),Background Only
O75676,RPS6KA4,GO:0000287; GO:0001818; GO:0004674; GO:0004711; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006355; GO:0006468; GO:0006954; GO:0016572; GO:0032793; GO:0033129; GO:0035066; GO:0035556; GO:0043987; GO:0043988; GO:0045944; GO:0051092; GO:0070498,Nucleus,Homo sapiens (Human),Background Only
P18615,NELFE,GO:0003682; GO:0003723; GO:0005634; GO:0005654; GO:0005886; GO:0006366; GO:0006368; GO:0016604; GO:0032021; GO:0034244; GO:0045944; GO:0050434; GO:0051571; GO:0070374; GO:1900364,Nucleus,Homo sapiens (Human),Background Only
Q92522,H1FX,GO:0000786; GO:0003690; GO:0003723; GO:0005634; GO:0005730; GO:0006334; GO:0006355; GO:0016584; GO:0030261; GO:0031492; GO:0031936; GO:0045296; GO:0045910,Nucleus; Chromosome,Homo sapiens (Human),Background Only
Q7L2H7,EIF3M,GO:0001732; GO:0002183; GO:0003743; GO:0005829; GO:0005852; GO:0006413; GO:0016282; GO:0031369; GO:0033290; GO:0071541,Cytoplasm,Homo sapiens (Human),Background Only
Q9UBP0,SPAST,GO:0000281; GO:0001578; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005789; GO:0005811; GO:0005813; GO:0005819; GO:0005829; GO:0005874; GO:0006888; GO:0007409; GO:0008017; GO:0008089; GO:0008152; GO:0008568; GO:0010458; GO:0016021; GO:0016853; GO:0016887; GO:0019896; GO:0030496; GO:0031117; GO:0031122; GO:0031410; GO:0031468; GO:0031965; GO:0032467; GO:0032506; GO:0034214; GO:0043014; GO:0044877; GO:0048471; GO:0048487; GO:0051013; GO:0051228; GO:0051260; GO:0061640; GO:0070062; GO:0071782; GO:0090148; GO:1904115,Membrane; Endoplasmic reticulum; Midbody; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Perinuclear region; Nucleus; Spindle; Endoplasmic reticulum membrane; Nucleus membrane; Lipid droplet; Endosome,Homo sapiens (Human),Background Only
Q99871,HAUS7,GO:0000086; GO:0005813; GO:0005819; GO:0005829; GO:0005874; GO:0007098; GO:0010389; GO:0031996; GO:0051011; GO:0051225; GO:0051301; GO:0070652; GO:0097711,Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Spindle,Homo sapiens (Human),Background Only
Q86Y07,VRK2,GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005783; GO:0005789; GO:0006468; GO:0016021; GO:0016032; GO:0018105; GO:0018107; GO:0019901; GO:0019904; GO:0031966; GO:0032991; GO:0034599; GO:0043408; GO:0046777; GO:2000659,Cytoplasm; Endoplasmic reticulum membrane; Mitochondrion membrane; Nucleus,Homo sapiens (Human),Background Only
Q01581,HMGCS1,GO:0001889; GO:0004421; GO:0005737; GO:0005829; GO:0006084; GO:0006629; GO:0006695; GO:0007420; GO:0008144; GO:0008584; GO:0009645; GO:0010142; GO:0014074; GO:0016853; GO:0019216; GO:0033197; GO:0042493; GO:0042803; GO:0043177; GO:0045540; GO:0046690; GO:0071372; GO:0071397; GO:0071404,Cytoplasm,Homo sapiens (Human),Background Only
O75815,BCAR3,GO:0002089; GO:0005085; GO:0007165; GO:0007264; GO:0033138; GO:0042493,,Homo sapiens (Human),Background Only
O75694,NUP155,GO:0000972; GO:0005215; GO:0005635; GO:0006110; GO:0006406; GO:0006409; GO:0006606; GO:0006998; GO:0016020; GO:0016032; GO:0016925; GO:0017056; GO:0019083; GO:0031965; GO:0036228; GO:0043657; GO:0044611; GO:0060964; GO:0075733; GO:0086014; GO:1900034,Nucleus; Nuclear pore complex; Nucleus membrane,Homo sapiens (Human),Background Only
O75394,MRPL33,GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0070125; GO:0070126,Mitochondrion,Homo sapiens (Human),Background Only
O75116,ROCK2,GO:0000281; GO:0001934; GO:0002931; GO:0003180; GO:0003723; GO:0004674; GO:0005198; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005829; GO:0005856; GO:0005886; GO:0006468; GO:0006939; GO:0007186; GO:0007249; GO:0007266; GO:0010595; GO:0010613; GO:0010628; GO:0010629; GO:0010825; GO:0016525; GO:0017049; GO:0018105; GO:0018107; GO:0030155; GO:0030335; GO:0030866; GO:0031032; GO:0031644; GO:0032723; GO:0032956; GO:0035509; GO:0036464; GO:0039694; GO:0042752; GO:0043410; GO:0045019; GO:0045616; GO:0046872; GO:0048010; GO:0048013; GO:0048156; GO:0048511; GO:0048598; GO:0050321; GO:0051246; GO:0051298; GO:0051492; GO:0051496; GO:0051893; GO:0061157; GO:0070168; GO:0071394; GO:0071559; GO:0072518; GO:0072659; GO:0090271; GO:0097746; GO:0110061; GO:0150033; GO:1900037; GO:1901888; GO:1902004; GO:1902961; GO:1902966; GO:1902993; GO:1903140; GO:1903347; GO:1905145; GO:1905205; GO:1990776; GO:2000114; GO:2000145,Cytoplasm; Cell membrane; Nucleus; Cytoskeleton; Microtubule organizing center; Centrosome,Homo sapiens (Human),Background Only
Q9BRJ6,C7orf50,GO:0003723,,Homo sapiens (Human),Background Only
Q96FL9,GALNT14,GO:0000139; GO:0004653; GO:0005794; GO:0016021; GO:0016266; GO:0030246; GO:0046872,Golgi apparatus membrane,Homo sapiens (Human),Background Only
Q2NL82,TSR1,GO:0000462; GO:0003723; GO:0003924; GO:0005525; GO:0005654; GO:0005730; GO:0005829; GO:0030688; GO:0034511,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
Q9UNH7,SNX6,GO:0005634; GO:0005737; GO:0005768; GO:0005829; GO:0006886; GO:0007175; GO:0016241; GO:0030512; GO:0030904; GO:0030905; GO:0031901; GO:0034452; GO:0035091; GO:0042147; GO:0042803; GO:0043524; GO:0045892; GO:0046982; GO:0097422; GO:1904646,Early endosome; Early endosome membrane; Cytoplasmic vesicle; Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
Q8NEF9,SRFBP1,GO:0003723; GO:0005634; GO:0030490; GO:0030686; GO:0048471,Cytoplasm; Perinuclear region,Homo sapiens (Human),Background Only
P30405,PPIF,GO:0000413; GO:0002931; GO:0003755; GO:0005739; GO:0005743; GO:0005757; GO:0005759; GO:0008637; GO:0010849; GO:0010939; GO:0016018; GO:0016020; GO:0032780; GO:0042026; GO:0043066; GO:0046902; GO:0051082; GO:0070266; GO:0070301; GO:0071243; GO:0071277; GO:0090200; GO:0090201; GO:0090324; GO:1902445; GO:1902686; GO:2000276; GO:2001243,Mitochondrion matrix,Homo sapiens (Human),Background Only
Q9ULX6,AKAP8L,GO:0000785; GO:0003677; GO:0003723; GO:0005521; GO:0005634; GO:0005737; GO:0006397; GO:0007076; GO:0008380; GO:0010793; GO:0016363; GO:0016605; GO:0016607; GO:0017151; GO:0031065; GO:0033127; GO:0034237; GO:0042826; GO:0044839; GO:0045944; GO:0046872; GO:0051081; GO:1990904,Nucleus; Nucleus matrix; Nucleus speckle; PML body; Cytoplasm,Homo sapiens (Human),Background Only
Q96T58,SPEN,GO:0000122; GO:0001085; GO:0003677; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0007219; GO:0016032; GO:0017053; GO:0045892; GO:0050769; GO:0070062,Nucleus,Homo sapiens (Human),Background Only
Q8TCD1,C18orf32,GO:0043123,,Homo sapiens (Human),Background Only
Q96HC4,PDLIM5,GO:0001725; GO:0003779; GO:0005080; GO:0005829; GO:0005913; GO:0007507; GO:0014069; GO:0015629; GO:0016020; GO:0030018; GO:0030036; GO:0031941; GO:0042805; GO:0043005; GO:0045211; GO:0046872; GO:0047485; GO:0051371; GO:0051963; GO:0061001; GO:0061049; GO:0061061; GO:0098641,Cell junction; Synapse; Postsynaptic cell membrane; Postsynaptic density; Synaptosome; Cytoplasm,Homo sapiens (Human),Background Only
P62487,POLR2G,GO:0000291; GO:0000398; GO:0000932; GO:0003697; GO:0003727; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0006283; GO:0006351; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0006915; GO:0008543; GO:0016070; GO:0031369; GO:0035019; GO:0042795; GO:0045948; GO:0050434; GO:0060213; GO:0060964,Nucleus,Homo sapiens (Human),Background Only
O60518,RANBP6,GO:0005634; GO:0005737; GO:0006606; GO:0008139; GO:0061608,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
P49116,NR2C2,GO:0000790; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0003707; GO:0003713; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0006367; GO:0007283; GO:0007399; GO:0008270; GO:0030154; GO:0038023; GO:0040019; GO:0043565; GO:0045944; GO:0046982; GO:0048856,Nucleus,Homo sapiens (Human),Background Only
P30043,BLVRB,GO:0004074; GO:0005654; GO:0005829; GO:0005886; GO:0042167; GO:0042602; GO:0043195; GO:0070062,Cytoplasm,Homo sapiens (Human),Background Only
Q9UGU0,TCF20,GO:0003677; GO:0003700; GO:0003713; GO:0003723; GO:0005634; GO:0005654; GO:0006355; GO:0016604; GO:0044212; GO:0045944; GO:0046872,Nucleus,Homo sapiens (Human),Background Only
P38435,GGCX,GO:0005789; GO:0006464; GO:0007596; GO:0008488; GO:0016020; GO:0016021; GO:0017187,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
Q8IZQ5,SELENOH,GO:0003723; GO:0005737; GO:0005794,,Homo sapiens (Human),Background Only
Q9P2K3,RCOR3,GO:0000981; GO:0003700; GO:0003714; GO:0005634; GO:0005667; GO:0008134; GO:0017053; GO:0044212,Nucleus,Homo sapiens (Human),Background Only
O95081,AGFG2,GO:0005096; GO:0016020; GO:0046872,,Homo sapiens (Human),Background Only
Q9BSQ5,CCM2,GO:0001570; GO:0001701; GO:0001885; GO:0005737; GO:0005739; GO:0007229; GO:0032991; GO:0035264; GO:0045216; GO:0048839; GO:0048845; GO:0051403; GO:0060039; GO:0060837; GO:0061154,Cytoplasm,Homo sapiens (Human),Background Only
P42694,HELZ,GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0005829; GO:0016020; GO:0035194; GO:0043186; GO:0046872,Nucleus,Homo sapiens (Human),Background Only
Q13151,HNRNPA0,GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0006397; GO:0006954; GO:0016070; GO:0017091; GO:0019901; GO:0032496; GO:0035925; GO:0070935; GO:1990904,Nucleus,Homo sapiens (Human),Background Only
Q5T013,HYI,GO:0008903; GO:0016857,,Homo sapiens (Human),Background Only
Q70CQ2,USP34,GO:0004197; GO:0004843; GO:0005829; GO:0006511; GO:0016055; GO:0016579; GO:0031647; GO:0036459; GO:0071108; GO:0090263,,Homo sapiens (Human),Background Only
Q9H269,VPS16,GO:0003779; GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005776; GO:0006886; GO:0007033; GO:0008333; GO:0016197; GO:0030136; GO:0030424; GO:0030897; GO:0031902; GO:0032889; GO:0035542; GO:0043025; GO:0051015; GO:0055037; GO:0097352,Late endosome membrane; Lysosome membrane; Early endosome; Cytoplasmic vesicle; Clathrin-coated vesicle; Autophagosome,Homo sapiens (Human),Background Only
Q13405,MRPL49,GO:0003735; GO:0005739; GO:0005743; GO:0005761; GO:0005762; GO:0070125; GO:0070126,Mitochondrion,Homo sapiens (Human),Background Only
Q8TEQ8,PIGO,GO:0005789; GO:0006506; GO:0016020; GO:0016021; GO:0051377,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
Q13637,RAB32,GO:0003924; GO:0005525; GO:0005739; GO:0005741; GO:0005769; GO:0005783; GO:0005802; GO:0005829; GO:0006886; GO:0007005; GO:0016020; GO:0016192; GO:0019882; GO:0030670; GO:0030742; GO:0032482; GO:0033162; GO:0035646; GO:0035650; GO:0035651; GO:0036461; GO:0042470; GO:0044233; GO:0045335; GO:0072657; GO:0090382; GO:1903232,Mitochondrion; Mitochondrion outer membrane; Cytoplasmic vesicle; Phagosome; Phagosome membrane; Melanosome; Melanosome membrane,Homo sapiens (Human),Background Only
O60513,B4GALT4,GO:0000139; GO:0003945; GO:0005794; GO:0005975; GO:0006486; GO:0006643; GO:0008378; GO:0016021; GO:0018146; GO:0032580; GO:0046872,Golgi apparatus; Golgi stack membrane,Homo sapiens (Human),Background Only
P55145,MANF,GO:0002576; GO:0003723; GO:0005576; GO:0005615; GO:0005634; GO:0005783; GO:0005788; GO:0005829; GO:0006986; GO:0008083; GO:0031175; GO:0033018; GO:0071542; GO:0120146; GO:1905897,Secreted; Endoplasmic reticulum lumen; Sarcoplasmic reticulum lumen,Homo sapiens (Human),Background Only
P82094,TMF1,GO:0000139; GO:0001675; GO:0001819; GO:0003677; GO:0003712; GO:0005634; GO:0005783; GO:0005794; GO:0005829; GO:0006355; GO:0006366; GO:0007289; GO:0010629; GO:0030317; GO:0032275; GO:0033327; GO:0042742; GO:0043066; GO:0061136; GO:0071407; GO:2000845,Cytoplasm; Nucleus; Golgi apparatus membrane,Homo sapiens (Human),Background Only
Q9UJX3,ANAPC7,GO:0005634; GO:0005654; GO:0005680; GO:0005829; GO:0006511; GO:0007049; GO:0019903; GO:0031145; GO:0051301; GO:0070979; GO:1901990,,Homo sapiens (Human),Background Only
Q9Y263,PLAA,GO:0005634; GO:0005737; GO:0006644; GO:0006693; GO:0006954; GO:0007165; GO:0010992; GO:0016005; GO:0016236; GO:0030054; GO:0032430; GO:0043130; GO:0043161; GO:0043162; GO:0045202; GO:0070062; GO:0071222; GO:1900045; GO:1903423; GO:1903861; GO:2001224,Nucleus; Cytoplasm; Cell junction; Synapse,Homo sapiens (Human),Background Only
Q92870,APBB2,GO:0001540; GO:0001764; GO:0005634; GO:0005737; GO:0006355; GO:0007050; GO:0007411; GO:0008134; GO:0016020; GO:0030027; GO:0030198; GO:0030308; GO:0030426; GO:0035556; GO:0043065; GO:0043066; GO:0045202,,Homo sapiens (Human),Background Only
Q9UBE0,SAE1,GO:0004839; GO:0005634; GO:0005654; GO:0005737; GO:0008022; GO:0008047; GO:0016567; GO:0016925; GO:0019948; GO:0031510; GO:0032446; GO:0043008; GO:0044388; GO:0046982; GO:1903955,Nucleus,Homo sapiens (Human),Background Only
Q9ULT8,HECTD1,GO:0003170; GO:0003281; GO:0004842; GO:0035904; GO:0046872; GO:0070534,,Homo sapiens (Human),Background Only
Q00535,CDK5,GO:0000226; GO:0001764; GO:0001963; GO:0002039; GO:0004672; GO:0004674; GO:0004693; GO:0005176; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005874; GO:0005886; GO:0006468; GO:0006886; GO:0006913; GO:0007005; GO:0007049; GO:0007160; GO:0007268; GO:0007409; GO:0007416; GO:0007519; GO:0008045; GO:0008542; GO:0009611; GO:0014044; GO:0014069; GO:0016020; GO:0016079; GO:0016241; GO:0016301; GO:0016310; GO:0016533; GO:0016572; GO:0018105; GO:0018107; GO:0019233; GO:0019901; GO:0021697; GO:0021766; GO:0021819; GO:0021954; GO:0022038; GO:0030027; GO:0030054; GO:0030175; GO:0030182; GO:0030334; GO:0030424; GO:0030425; GO:0030426; GO:0030517; GO:0030549; GO:0030866; GO:0031175; GO:0031397; GO:0031594; GO:0031914; GO:0032092; GO:0032801; GO:0034352; GO:0035249; GO:0035418; GO:0042501; GO:0042981; GO:0043005; GO:0043025; GO:0043113; GO:0043125; GO:0043204; GO:0043525; GO:0045211; GO:0045786; GO:0045860; GO:0045861; GO:0045892; GO:0045956; GO:0046777; GO:0046826; GO:0046875; GO:0048148; GO:0048156; GO:0048167; GO:0048488; GO:0048489; GO:0048511; GO:0048675; GO:0048709; GO:0048813; GO:0050321; GO:0051301; GO:0051402; GO:0051879; GO:0051966; GO:0060079; GO:0061001; GO:0070509; GO:0071156; GO:0090314; GO:0098685; GO:0098793; GO:0098883; GO:0098978; GO:0099635; GO:1901215; GO:1901796; GO:1903076; GO:1903421; GO:1904646; GO:2000251,Cytoplasm; Cell membrane; Perikaryon; Cell projection; Lamellipodium; Growth cone; Cell junction; Synapse; Postsynaptic cell membrane; Postsynaptic density; Nucleus,Homo sapiens (Human),Background Only
O15056,SYNJ2,GO:0003723; GO:0004439; GO:0005829; GO:0005856; GO:0005886; GO:0006661; GO:0007420; GO:0017124; GO:0030424; GO:0045121; GO:0046855; GO:0046856; GO:0048471; GO:0061024; GO:0098793,Cytoplasm; Cell membrane; Membrane raft; Cell projection; Axon; Cytoskeleton,Homo sapiens (Human),Background Only
P36959,GMPR,GO:0003920; GO:0005829; GO:0006144; GO:0009409; GO:0015951; GO:0043101; GO:0046872; GO:1902560,,Homo sapiens (Human),Background Only
Q96BY6,DOCK10,GO:0001782; GO:0002315; GO:0005085; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0007264; GO:0016020; GO:0030334; GO:0043197; GO:0043547; GO:0060997; GO:0070062,Nucleus; Cytoplasm; Cell projection; Dendritic spine,Homo sapiens (Human),Background Only
P01033,TIMP1,GO:0001775; GO:0002020; GO:0002248; GO:0002576; GO:0005125; GO:0005576; GO:0005604; GO:0005615; GO:0005788; GO:0007568; GO:0008083; GO:0008191; GO:0008270; GO:0008284; GO:0009725; GO:0010033; GO:0010951; GO:0019221; GO:0022617; GO:0030414; GO:0031012; GO:0031093; GO:0034097; GO:0043066; GO:0043086; GO:0043434; GO:0043687; GO:0044267; GO:0051045; GO:0051216; GO:0070062; GO:1901164; GO:1905049; GO:2001044,Secreted,Homo sapiens (Human),Background Only
Q9UNX4,WDR3,GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0031965; GO:0032040; GO:0034388,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
Q9GZP1,NRSN2,GO:0005886; GO:0007399; GO:0016021; GO:0030133; GO:0031410; GO:0043005; GO:0043025,Membrane,Homo sapiens (Human),Background Only
Q9NQX3,GPHN,GO:0005524; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006777; GO:0007529; GO:0008940; GO:0010038; GO:0014069; GO:0018315; GO:0030054; GO:0030425; GO:0032324; GO:0043546; GO:0045211; GO:0046872; GO:0061598; GO:0061599; GO:0072579; GO:0097112; GO:0098970; GO:0099572; GO:0099634,Cell junction; Synapse; Postsynaptic cell membrane; Cytoplasm; Cytoskeleton; Cell membrane; Cell projection; Dendrite; Postsynaptic density,Homo sapiens (Human),Background Only
Q7Z417,NUFIP2,GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0010494; GO:0016020; GO:0016604; GO:0042788,Nucleus; Cytoplasm; Stress granule,Homo sapiens (Human),Background Only
Q93034,CUL5,GO:0000082; GO:0004842; GO:0005262; GO:0005829; GO:0006511; GO:0016032; GO:0019005; GO:0031146; GO:0031461; GO:0031466; GO:0031625; GO:0038023; GO:0038128; GO:0043161; GO:0043687; GO:0097193,,Homo sapiens (Human),Background Only
Q8N4H5,TOMM5,GO:0005739; GO:0005741; GO:0005742; GO:0006626; GO:0016021; GO:0016236,Mitochondrion outer membrane,Homo sapiens (Human),Background Only
O95714,HERC2,GO:0004842; GO:0005085; GO:0005634; GO:0005654; GO:0005737; GO:0005814; GO:0006303; GO:0006886; GO:0006974; GO:0007283; GO:0008270; GO:0016020; GO:0016567; GO:0031625; GO:0032183; GO:0043161,Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Nucleus,Homo sapiens (Human),Background Only
P10109,FDX1,GO:0005506; GO:0005739; GO:0005759; GO:0006700; GO:0008203; GO:0009055; GO:0016125; GO:0042446; GO:0044281; GO:0051537; GO:0071320; GO:1904322,Mitochondrion matrix,Homo sapiens (Human),Background Only
Q7L7X3,TAOK1,GO:0000186; GO:0000187; GO:0000226; GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006468; GO:0006974; GO:0007026; GO:0007095; GO:0007257; GO:0015630; GO:0016301; GO:0016740; GO:0023014; GO:0031098; GO:0032147; GO:0032874; GO:0032956; GO:0043014; GO:0043539; GO:0046330; GO:0046777; GO:0048156; GO:0048471; GO:0048487; GO:0050321; GO:0051493; GO:0070050; GO:0070062; GO:0070507; GO:0097194; GO:1901985,Cytoplasm,Homo sapiens (Human),Background Only
P61619,SEC61A1,GO:0005048; GO:0005262; GO:0005783; GO:0005784; GO:0005789; GO:0005829; GO:0006613; GO:0006614; GO:0006616; GO:0006620; GO:0007029; GO:0008320; GO:0016020; GO:0030176; GO:0031204; GO:0034341; GO:0039019; GO:0043022; GO:0045047,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
Q8NCN5,PDPR,GO:0005737; GO:0005739; GO:0005759; GO:0010510; GO:0016491,Mitochondrion matrix,Homo sapiens (Human),Background Only
O75592,MYCBP2,GO:0005085; GO:0005634; GO:0005737; GO:0008270; GO:0008536; GO:0015630; GO:0016020; GO:0016567; GO:0021785; GO:0021952; GO:0030424; GO:0031398; GO:0032880; GO:0032922; GO:0042177; GO:0042803; GO:0043231; GO:0050905; GO:0051493; GO:0061630; GO:1902667,Nucleus; Cell projection; Axon; Cytoplasm; Cytoskeleton,Homo sapiens (Human),Background Only
Q8ND56,LSM14A,GO:0000932; GO:0003690; GO:0003723; GO:0003725; GO:0003727; GO:0005737; GO:0005829; GO:0006417; GO:0007275; GO:0010494; GO:0033962; GO:0036464; GO:0039529; GO:0060340,Cytoplasm; P-body; Stress granule,Homo sapiens (Human),Background Only
P08559,PDHA1,GO:0004738; GO:0004739; GO:0005634; GO:0005730; GO:0005739; GO:0005759; GO:0006006; GO:0006086; GO:0006090; GO:0006099; GO:0034604; GO:0045254; GO:0061732,Mitochondrion matrix,Homo sapiens (Human),Background Only
Q7Z3E5,ARMC9,GO:0005737; GO:0036064; GO:0060271; GO:0070062,Cytoplasm; Cytoskeleton; Cilium basal body,Homo sapiens (Human),Background Only
Q86UB9,TMEM135,GO:0005777; GO:0005778; GO:0005811; GO:0007031; GO:0009409; GO:0016021; GO:0031966; GO:0032094; GO:0090140,Mitochondrion membrane; Peroxisome membrane,Homo sapiens (Human),Background Only
Q15746,MYLK,GO:0001725; GO:0003779; GO:0004672; GO:0004687; GO:0005516; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0006936; GO:0006939; GO:0014820; GO:0015629; GO:0030027; GO:0030335; GO:0032060; GO:0032154; GO:0046872; GO:0051928; GO:0060414; GO:0071476; GO:0072358; GO:0090303,Cytoplasm; Cell projection; Lamellipodium; Cleavage furrow; Cytoskeleton; Stress fiber,Homo sapiens (Human),Background Only
Q7RTV0,PHF5A,GO:0000398; GO:0003677; GO:0003700; GO:0003723; GO:0005634; GO:0005654; GO:0005686; GO:0005689; GO:0016363; GO:0016607; GO:0045893; GO:0046872; GO:0071005,Nucleus; Nucleus speckle,Homo sapiens (Human),Background Only
Q9Y6I3,EPN1,GO:0001701; GO:0005634; GO:0005829; GO:0005886; GO:0005905; GO:0006897; GO:0007219; GO:0007565; GO:0008289; GO:0042059; GO:0048568; GO:0061024; GO:1903671,Cytoplasm; Cell membrane; Nucleus; Membrane; Clathrin-coated pit,Homo sapiens (Human),Background Only
Q99436,PSMB7,GO:0000165; GO:0000209; GO:0000502; GO:0002223; GO:0002479; GO:0004175; GO:0004298; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0006521; GO:0010498; GO:0010499; GO:0010972; GO:0016032; GO:0016579; GO:0019774; GO:0031145; GO:0031146; GO:0033209; GO:0034774; GO:0038061; GO:0038095; GO:0043161; GO:0043312; GO:0043488; GO:0043687; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070498; GO:0090090; GO:0090263; GO:1901990; GO:1902036; GO:1904813,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
